dataset: GLI85 | 2 classes | 22283 features | deivce: cpu
epoch 121 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 131 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 141 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.008
epoch 151 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 161 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 171 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0079
epoch 181 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 191 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
2layers, Final test  ACC: 70.5882 %
hd:8, dp:0.4, wd:0.005, layer 3 
epoch 1 | train ACC 64.7059 % | test ACC 58.8235 % | train loss 0.0091
epoch 11 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0083
epoch 21 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 31 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 41 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 51 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.008
epoch 61 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.008
epoch 71 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 81 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0077
epoch 91 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0075
epoch 101 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 111 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0078
epoch 121 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0074
epoch 131 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0074
epoch 141 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0071
epoch 151 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0072
epoch 161 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0062
epoch 171 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0063
epoch 181 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0068
epoch 191 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0061
3layers, Final test  ACC: 70.5882 %
hd:8, dp:0.4, wd:0.005, layer 4 
epoch 1 | train ACC 29.4118 % | test ACC 50.0 % | train loss 0.0091
epoch 11 | train ACC 64.7059 % | test ACC 60.2941 % | train loss 0.0083
epoch 21 | train ACC 64.7059 % | test ACC 66.1765 % | train loss 0.0082
epoch 31 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 41 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 51 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 61 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 71 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0077
epoch 81 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0079
epoch 91 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.007
epoch 101 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0069
epoch 111 | train ACC 88.2353 % | test ACC 70.5882 % | train loss 0.0073
epoch 121 | train ACC 82.3529 % | test ACC 76.4706 % | train loss 0.0067
epoch 131 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0075
epoch 141 | train ACC 88.2353 % | test ACC 75.0 % | train loss 0.0062
