dataset: CLL_SUB | 3 classes | 11340 features | deivce: cpu
epoch 151 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0076
epoch 161 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.007
epoch 171 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0065
epoch 181 | train ACC 38.0952 % | test ACC 51.1111 % | train loss 0.0074
epoch 191 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0067
8layers, Final test  ACC: 53.3333 %
Layer 1, Acc:0.4555555582046509, F:0.2893, Pr:0.4595, Auc:0.3913, Rec:0.4595
Layer 2, Acc:0.4555555582046509, F:0.2893, Pr:0.4595, Auc:0.6195, Rec:0.4595
Layer 3, Acc:0.4555555582046509, F:0.2893, Pr:0.4595, Auc:0.7682, Rec:0.4595
Layer 4, Acc:0.5333333611488342, F:0.3794, Pr:0.5225, Auc:0.7557, Rec:0.5225
Layer 5, Acc:0.46666666865348816, F:0.3528, Pr:0.4865, Auc:0.7146, Rec:0.4865
Layer 6, Acc:0.4555555582046509, F:0.2893, Pr:0.4595, Auc:0.7864, Rec:0.4595
Layer 7, Acc:0.5444444417953491, F:0.4027, Pr:0.5495, Auc:0.7869, Rec:0.5495
Layer 8, Acc:0.5333333611488342, F:0.3794, Pr:0.5225, Auc:0.753, Rec:0.5225
Layer 7, max_Acc:54.444444, F:0.4027, Pr:0.5495, Auc:0.7869, Rec:0.5495
hd:8, dp:0.4, wd:0.005, layer 1 
epoch 1 | train ACC 47.619 % | test ACC 41.1111 % | train loss 0.0102
epoch 11 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 21 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 31 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 41 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 51 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 61 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 71 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 81 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 91 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 101 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 111 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 121 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 131 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 141 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 151 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 161 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 171 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 181 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 191 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
1layers, Final test  ACC: 45.5556 %
hd:8, dp:0.4, wd:0.005, layer 2 
epoch 1 | train ACC 19.0476 % | test ACC 31.1111 % | train loss 0.0106
epoch 11 | train ACC 38.0952 % | test ACC 44.4444 % | train loss 0.0099
epoch 21 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 31 | train ACC 38.0952 % | test ACC 50.0 % | train loss 0.0099
epoch 41 | train ACC 47.619 % | test ACC 43.3333 % | train loss 0.0098
epoch 51 | train ACC 42.8571 % | test ACC 42.2222 % | train loss 0.0098
epoch 61 | train ACC 47.619 % | test ACC 44.4444 % | train loss 0.0097
epoch 71 | train ACC 47.619 % | test ACC 44.4444 % | train loss 0.0098
epoch 81 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0097
epoch 91 | train ACC 47.619 % | test ACC 44.4444 % | train loss 0.0096
epoch 101 | train ACC 47.619 % | test ACC 44.4444 % | train loss 0.0097
epoch 111 | train ACC 57.1429 % | test ACC 45.5556 % | train loss 0.0095
epoch 121 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0096
epoch 131 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0095
