dataset: ALLAML | 2 classes | 7129 features | deivce: cpu
epoch 71 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0074
epoch 81 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.007
epoch 91 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0076
epoch 101 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0088
epoch 111 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.008
epoch 121 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0069
epoch 131 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0069
epoch 141 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0065
epoch 151 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0068
epoch 161 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0067
epoch 171 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0066
epoch 181 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0062
epoch 191 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0055
5layers, Final test  ACC: 65.5172 %
hd:8, dp:0.4, wd:0.005, layer 6 
epoch 1 | train ACC 35.7143 % | test ACC 34.4828 % | train loss 0.0125
epoch 11 | train ACC 71.4286 % | test ACC 65.5172 % | train loss 0.0112
epoch 21 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0101
epoch 31 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0093
epoch 41 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0085
epoch 51 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0081
epoch 61 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0081
epoch 71 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0076
epoch 81 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0081
epoch 91 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0075
epoch 101 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0067
epoch 111 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0068
epoch 121 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0084
epoch 131 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.007
epoch 141 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.007
epoch 151 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0068
epoch 161 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0081
